Label,Frame Index,Time Stamp,Confidence
bird,659,21.97,0.36
bird,660,22.00,0.36
bird,661,22.03,0.52
bird,662,22.07,0.54
bird,664,22.13,0.45
bird,665,22.17,0.27
bird,666,22.20,0.43
bird,667,22.23,0.50
bird,668,22.27,0.49
bird,669,22.30,0.48
bird,670,22.33,0.41
bird,671,22.37,0.43
bird,672,22.40,0.55
bird,673,22.43,0.54
bird,674,22.47,0.57
bird,675,22.50,0.42
bird,676,22.53,0.45
bird,677,22.57,0.44
bird,678,22.60,0.37
bird,679,22.63,0.43
bird,680,22.67,0.42
bird,681,22.70,0.49
bird,682,22.73,0.36
bird,683,22.77,0.28
bird,684,22.80,0.39
bird,687,22.90,0.42
bird,688,22.93,0.37
bird,689,22.97,0.53
bird,690,23.00,0.48
bird,691,23.03,0.32
bird,692,23.07,0.33
bird,693,23.10,0.46
bird,694,23.13,0.52
bird,695,23.17,0.34
bird,696,23.20,0.40
bird,697,23.23,0.39
bird,698,23.27,0.39
bird,699,23.30,0.35
bird,700,23.33,0.32
bird,701,23.37,0.29
bird,702,23.40,0.40
bird,702,23.40,0.27
bird,707,23.57,0.33
bird,708,23.60,0.29
bird,712,23.73,0.38
bird,713,23.77,0.30
bird,715,23.83,0.27
bird,716,23.87,0.27
bird,718,23.93,0.29
bird,719,23.97,0.25
bird,721,24.03,0.27
bird,722,24.07,0.26
bird,726,24.20,0.32
bird,727,24.23,0.34
bird,728,24.27,0.34
bird,729,24.30,0.26
bird,730,24.33,0.26
bird,735,24.50,0.30
bird,750,25.00,0.46
bird,751,25.03,0.36
bird,752,25.07,0.36
bird,754,25.13,0.38
bird,755,25.17,0.34
bird,756,25.20,0.36
bird,757,25.23,0.38
bird,758,25.27,0.38
bird,759,25.30,0.38
bird,760,25.33,0.85
bird,761,25.37,0.87
bird,762,25.40,0.87
bird,763,25.43,0.87
bird,764,25.47,0.87
bird,765,25.50,0.85
bird,766,25.53,0.86
bird,767,25.57,0.87
bird,768,25.60,0.85
bird,769,25.63,0.78
bird,770,25.67,0.82
bird,771,25.70,0.84
bird,772,25.73,0.84
bird,773,25.77,0.81
bird,774,25.80,0.81
bird,775,25.83,0.78
bird,776,25.87,0.79
bird,777,25.90,0.84
bird,778,25.93,0.88
bird,779,25.97,0.90
bird,780,26.00,0.91
bird,781,26.03,0.90
bird,782,26.07,0.89
bird,783,26.10,0.87
bird,784,26.13,0.83
bird,785,26.17,0.84
bird,786,26.20,0.83
bird,787,26.23,0.85
bird,788,26.27,0.86
bird,789,26.30,0.85
bird,790,26.33,0.86
bird,791,26.37,0.86
bird,792,26.40,0.85
bird,793,26.43,0.86
bird,794,26.47,0.86
bird,795,26.50,0.87
bird,796,26.53,0.88
bird,797,26.57,0.88
bird,798,26.60,0.88
bird,799,26.63,0.88
bird,800,26.67,0.88
bird,801,26.70,0.87
bird,802,26.73,0.86
bird,803,26.77,0.88
bird,804,26.80,0.87
bird,805,26.83,0.85
bird,806,26.87,0.88
bird,807,26.90,0.89
bird,808,26.93,0.88
bird,809,26.97,0.89
bird,810,27.00,0.88
bird,811,27.03,0.87
bird,812,27.07,0.86
bird,813,27.10,0.88
bird,814,27.13,0.87
bird,815,27.17,0.87
bird,816,27.20,0.87
bird,817,27.23,0.88
bird,818,27.27,0.89
bird,819,27.30,0.90
bird,820,27.33,0.88
bird,821,27.37,0.90
bird,822,27.40,0.88
bird,823,27.43,0.85
bird,824,27.47,0.85
bird,825,27.50,0.79
bird,826,27.53,0.83
bird,827,27.57,0.85
bird,828,27.60,0.83
bird,829,27.63,0.85
bird,830,27.67,0.83
bird,831,27.70,0.84
bird,832,27.73,0.83
bird,833,27.77,0.85
bird,834,27.80,0.85
bird,835,27.83,0.86
bird,836,27.87,0.86
bird,837,27.90,0.86
bird,838,27.93,0.85
bird,839,27.97,0.85
bird,840,28.00,0.85
bird,841,28.03,0.84
bird,842,28.07,0.79
bird,843,28.10,0.81
bird,844,28.13,0.85
bird,845,28.17,0.82
bird,846,28.20,0.81
bird,847,28.23,0.81
bird,848,28.27,0.80
bird,849,28.30,0.79
bird,850,28.33,0.78
bird,851,28.37,0.77
bird,852,28.40,0.78
bird,853,28.43,0.76
bird,854,28.47,0.73
bird,855,28.50,0.74
bird,856,28.53,0.72
bird,857,28.57,0.71
bird,858,28.60,0.75
bird,859,28.63,0.74
bird,860,28.67,0.72
bird,861,28.70,0.74
bird,862,28.73,0.76
bird,863,28.77,0.75
bird,864,28.80,0.75
bird,865,28.83,0.77
bird,866,28.87,0.79
bird,867,28.90,0.80
bird,868,28.93,0.79
bird,869,28.97,0.82
bird,870,29.00,0.78
bird,871,29.03,0.80
bird,872,29.07,0.76
bird,873,29.10,0.81
bird,874,29.13,0.83
bird,875,29.17,0.80
bird,876,29.20,0.80
bird,877,29.23,0.81
bird,878,29.27,0.81
bird,879,29.30,0.82
bird,880,29.33,0.80
bird,881,29.37,0.84
bird,882,29.40,0.85
bird,883,29.43,0.85
bird,884,29.47,0.81
bird,885,29.50,0.80
bird,886,29.53,0.79
bird,887,29.57,0.80
bird,888,29.60,0.83
bird,889,29.63,0.83
bird,890,29.67,0.84
bird,891,29.70,0.87
bird,892,29.73,0.89
bird,893,29.77,0.88
bird,894,29.80,0.87
bird,895,29.83,0.86
bird,896,29.87,0.85
bird,897,29.90,0.81
bird,898,29.93,0.80
bird,899,29.97,0.81
bird,900,30.00,0.81
bird,901,30.03,0.82
