Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP请求,200,3,3,5,5,15,2,15,0.000%,201.81635,365.60,52.03
TOTAL,200,3,3,5,5,15,2,15,0.000%,201.81635,365.60,52.03
