Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP请求,400,2,2,3,4,8,1,13,0.000%,331.67496,600.84,85.51
TOTAL,400,2,2,3,4,8,1,13,0.000%,331.67496,600.84,85.51
