Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP请求,300,3,3,4,7,15,1,30,0.000%,334.82143,606.54,86.32
TOTAL,300,3,3,4,7,15,1,30,0.000%,334.82143,606.54,86.32
