Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP请求,900,2,2,3,3,4,1,6,0.000%,985.76123,1785.73,254.14
TOTAL,900,2,2,3,3,4,1,6,0.000%,985.76123,1785.73,254.14
