Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP请求,600,3,2,4,8,25,1,44,0.000%,505.05051,914.92,130.21
TOTAL,600,3,2,4,8,25,1,44,0.000%,505.05051,914.92,130.21
