Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP请求,1000,2,2,5,7,11,1,14,0.000%,1008.06452,1826.14,259.89
TOTAL,1000,2,2,5,7,11,1,14,0.000%,1008.06452,1826.14,259.89
