Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP请求,2100,87,3,385,460,473,1,527,19.000%,1688.10289,3240.33,352.52
TOTAL,2100,87,3,385,460,473,1,527,19.000%,1688.10289,3240.33,352.52
