Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP请求,500,3,3,4,9,18,1,35,0.000%,501.00200,907.59,129.16
TOTAL,500,3,3,4,9,18,1,35,0.000%,501.00200,907.59,129.16
