Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP请求,1100,1,2,2,3,8,1,21,0.000%,973.45133,1763.43,250.97
TOTAL,1100,1,2,2,3,8,1,21,0.000%,973.45133,1763.43,250.97
