Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP请求,1900,2,2,4,5,10,1,18,0.000%,988.03952,1789.86,254.73
TOTAL,1900,2,2,4,5,10,1,18,0.000%,988.03952,1789.86,254.73
