Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP请求,700,3,3,5,7,17,1,18,0.000%,968.18811,1753.90,249.61
TOTAL,700,3,3,5,7,17,1,18,0.000%,968.18811,1753.90,249.61
