Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP请求,1400,1,1,2,3,7,1,15,0.000%,1010.10101,1829.82,260.42
TOTAL,1400,1,1,2,3,7,1,15,0.000%,1010.10101,1829.82,260.42
