Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP请求,100,3,3,4,5,17,2,19,0.000%,99.60159,180.43,25.68
TOTAL,100,3,3,4,5,17,2,19,0.000%,99.60159,180.43,25.68
