Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP请求,1700,2,2,3,4,7,1,12,0.000%,979.26267,1773.96,252.47
TOTAL,1700,2,2,3,4,7,1,12,0.000%,979.26267,1773.96,252.47
