Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP请求,1300,1,1,2,3,4,1,7,0.000%,990.09901,1793.59,255.26
TOTAL,1300,1,1,2,3,4,1,7,0.000%,990.09901,1793.59,255.26
