Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP请求,1200,2,2,4,5,10,1,16,0.000%,973.23601,1763.04,250.91
TOTAL,1200,2,2,4,5,10,1,16,0.000%,973.23601,1763.04,250.91
