Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP请求,800,3,2,5,12,24,1,32,0.000%,991.32590,1795.85,255.58
TOTAL,800,3,2,5,12,24,1,32,0.000%,991.32590,1795.85,255.58
