Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP请求,1500,2,2,3,5,9,1,17,0.000%,1008.06452,1826.13,259.89
TOTAL,1500,2,2,3,5,9,1,17,0.000%,1008.06452,1826.13,259.89
