Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,130,4409,4508,7499,7789,8047,528,8142,0.000%,14.57563,23184.25,0.00
TOTAL,130,4409,4508,7499,7789,8047,528,8142,0.000%,14.57563,23184.25,0.00
