Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,25,253,255,319,337,396,132,396,0.000%,20.12882,32017.27,0.00
TOTAL,25,253,255,319,337,396,132,396,0.000%,20.12882,32017.27,0.00
