Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,50,1315,1207,2141,2410,2573,215,2573,0.000%,15.87302,25247.91,0.00
TOTAL,50,1315,1207,2141,2410,2573,215,2573,0.000%,15.87302,25247.91,0.00
