Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,10,124,118,145,145,168,106,168,0.000%,9.56023,15206.67,0.00
TOTAL,10,124,118,145,145,168,106,168,0.000%,9.56023,15206.67,0.00
