Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,30,470,485,707,746,800,110,800,0.000%,19.28021,30667.45,0.00
TOTAL,30,470,485,707,746,800,110,800,0.000%,19.28021,30667.45,0.00
