Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,5,119,119,119,142,142,107,142,0.000%,5.28541,8407.07,0.00
TOTAL,5,119,119,119,142,142,107,142,0.000%,5.28541,8407.07,0.00
