Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,15,133,126,152,166,172,111,172,0.000%,14.17769,22551.30,0.00
TOTAL,15,133,126,152,166,172,111,172,0.000%,14.17769,22551.30,0.00
