Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,140,5450,5102,9760,9842,10077,536,10223,0.000%,12.73885,20262.65,0.00
TOTAL,140,5450,5102,9760,9842,10077,536,10223,0.000%,12.73885,20262.65,0.00
