Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,90,3063,3177,5147,5647,5843,513,5972,0.000%,13.81004,21966.49,0.00
TOTAL,90,3063,3177,5147,5647,5843,513,5972,0.000%,13.81004,21966.49,0.00
