Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,160,5862,4971,11603,11819,12029,59,12201,6.250%,12.61531,18812.10,0.00
TOTAL,160,5862,4971,11603,11819,12029,59,12201,6.250%,12.61531,18812.10,0.00
