Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,45,1029,997,1663,1820,2092,149,2092,0.000%,16.81614,26748.06,0.00
TOTAL,45,1029,997,1663,1820,2092,149,2092,0.000%,16.81614,26748.06,0.00
