Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,100,2935,2888,5166,5290,5477,219,5777,0.000%,15.95405,25376.81,0.00
TOTAL,100,2935,2888,5166,5290,5477,219,5777,0.000%,15.95405,25376.81,0.00
