Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,35,563,544,839,901,1141,137,1141,0.000%,19.69612,31329.00,0.00
TOTAL,35,563,544,839,901,1141,137,1141,0.000%,19.69612,31329.00,0.00
