Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,70,1940,1904,3312,3476,3522,423,3728,0.000%,16.02197,25484.84,0.00
TOTAL,70,1940,1904,3312,3476,3522,423,3728,0.000%,16.02197,25484.84,0.00
