Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,110,3380,3270,5997,6134,6427,431,6447,0.000%,15.42128,24529.37,0.00
TOTAL,110,3380,3270,5997,6134,6427,431,6447,0.000%,15.42128,24529.37,0.00
