Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,120,3877,3672,7166,7380,7627,498,7840,0.000%,14.16598,22532.66,0.00
TOTAL,120,3877,3672,7166,7380,7627,498,7840,0.000%,14.16598,22532.66,0.00
