Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,80,2191,2215,3774,4116,4298,210,4352,0.000%,16.05136,25531.59,0.00
TOTAL,80,2191,2215,3774,4116,4298,210,4352,0.000%,16.05136,25531.59,0.00
