Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,20,200,207,251,269,296,133,296,0.000%,17.03578,27097.41,0.00
TOTAL,20,200,207,251,269,296,133,296,0.000%,17.03578,27097.41,0.00
