Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,40,920,833,1398,1531,1886,145,1886,0.000%,17.07942,27166.83,0.00
TOTAL,40,920,833,1398,1531,1886,145,1886,0.000%,17.07942,27166.83,0.00
