Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
JDBC Request,60,1665,1641,2785,3065,3246,249,3369,0.000%,16.15509,25696.58,0.00
TOTAL,60,1665,1641,2785,3065,3246,249,3369,0.000%,16.15509,25696.58,0.00
